salary_id,employer_name,location_name,location_state,location_country,location_latitude,location_longitude,job_title,job_title_category,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,submitted_at
1,opower,"san francisco, ca",CA,US,37.77,-122.41,systemsengineer,Engineering,13,2,125000,5000,0,3/21/2016 12:58
3,walmart,"bentonville, ar",AR,US,36.36,-94.2,seniordeveloper,Software,15,8,65000,2500,5000,3/21/2016 12:58
4,vertical knowledge,"cleveland, oh",OH,US,41.47,-81.67,softwareengineer,Software,4,1,86000,5000,6000,3/21/2016 12:59
14,casino,eastern oregon,OR,US,38,-97,ittechnician,Other,5,1.5,40000,0,500,3/21/2016 13:03
16,tetra tech,"madison, wi",WI,US,43.1,-89.5,leadinterviewer,Other,4,2.5,45000,0,1500,3/21/2016 13:03
17,knewton,new york city,NY,US,38,-97,seniorsoftwareengineer,Software,8,2,135000,0,0,3/21/2016 13:03
24,pensco trust company,"denver, co",CO,US,39.82,-105.1,seniorsoftwareengineer,Software,10,1.5,120000,0,6000,3/21/2016 13:04
40,oracle,"bala cynwyd, pa",PA,US,40.01,-75.22,studentinterncoop,Other,0,0,24,0,0,3/21/2016 13:06
45,klick,"toronto, canada",CA,CA,60,-95,fullstackdeveloper,Web,5,3,85000,0,5000,3/21/2016 13:06
48,nbc universal,new york,NY,US,38,-97,senioranalyst,Data,2,1.5,55000,0,0,3/21/2016 13:07
59,quick left,boulder co,CO,US,38,-97,seniordeveloper,Software,6,1,120000,0,0,3/21/2016 13:08
60,1&1 development srl,"bucharest, romania",CA,OM,21,57,softwaredeveloper,Software,5,2,17264,0,0,3/21/2016 13:08
62,early-stage startup,"stockholm, sweden",CA,SE,62,15,iosdeveloper,Software,8,0.8,36.5,0,0,3/21/2016 13:09
70,startup,"detroit, mi",MI,US,42.38,-83.1,seniorengineer,Engineering,8,3,100000,0,0,3/21/2016 13:10
74,sf startup,"san francisco, ca",CA,US,37.77,-122.41,webdeveloper,Web,5,0.5,125000,5000,10,3/21/2016 13:10
79,city of austin,"austin, tx",TX,US,30.26,-97.74,itprogrammer,Other,40,15,103000,0,1500,3/21/2016 13:11
88,early-stage startup,"denver, co",CO,US,39.82,-105.1,directorofproduct,Management,5,3,80000,0,2500,3/21/2016 13:11
91,freelance,"denver, co",CO,US,39.82,-105.1,softwareengineer,Software,20,11,190000,0,0,3/21/2016 13:12
