"","salary_id","employer_name","location_name","location_state","location_country","location_latitude","location_longitude","job_title","job_title_category","total_experience_years","employer_experience_years","annual_base_pay","signing_bonus","annual_bonus","submitted_at"
"1",1,"opower","san francisco, ca","CA","1",37.77,-122.41,"1","1",13,2,125000,5000,0,"3/21/2016 12:58"
"2",3,"walmart","bentonville, ar","AR","1",36.36,-94.2,"2","2",15,8,65000,2500,5000,"3/21/2016 12:58"
"3",4,"vertical knowledge","cleveland, oh","OH","1",41.47,-81.67,"3","2",4,1,86000,5000,6000,"3/21/2016 12:59"
"4",14,"casino","eastern oregon","OR","1",38,-97,"4","3",5,1.5,40000,0,500,"3/21/2016 13:03"
"5",16,"tetra tech","madison, wi","WI","1",43.1,-89.5,"5","3",4,2.5,45000,0,1500,"3/21/2016 13:03"
"6",17,"knewton","new york city","NY","1",38,-97,"6","2",8,2,135000,0,0,"3/21/2016 13:03"
"7",24,"pensco trust company","denver, co","CO","1",39.82,-105.1,"6","2",10,1.5,120000,0,6000,"3/21/2016 13:04"
"8",40,"oracle","bala cynwyd, pa","PA","1",40.01,-75.22,"7","3",0,0,24,0,0,"3/21/2016 13:06"
"9",45,"klick","toronto, canada","CA","3",60,-95,"8","4",5,3,85000,0,5000,"3/21/2016 13:06"
"10",48,"nbc universal","new york","NY","1",38,-97,"9","5",2,1.5,55000,0,0,"3/21/2016 13:07"
"11",59,"quick left","boulder co","CO","1",38,-97,"2","2",6,1,120000,0,0,"3/21/2016 13:08"
"12",60,"1&1 development srl","bucharest, romania","CA","2",21,57,"10","2",5,2,17264,0,0,"3/21/2016 13:08"
"13",62,"early-stage startup","stockholm, sweden","CA","4",62,15,"11","2",8,0.8,36.5,0,0,"3/21/2016 13:09"
"14",70,"startup","detroit, mi","MI","1",42.38,-83.1,"12","1",8,3,1e+05,0,0,"3/21/2016 13:10"
"15",74,"sf startup","san francisco, ca","CA","1",37.77,-122.41,"13","4",5,0.5,125000,5000,10,"3/21/2016 13:10"
"16",79,"city of austin","austin, tx","TX","1",30.26,-97.74,"14","3",40,15,103000,0,1500,"3/21/2016 13:11"
"17",88,"early-stage startup","denver, co","CO","1",39.82,-105.1,"15","6",5,3,80000,0,2500,"3/21/2016 13:11"
"18",91,"freelance","denver, co","CO","1",39.82,-105.1,"3","2",20,11,190000,0,0,"3/21/2016 13:12"
